State,Long,"Place
Name","Zip
Code",County,Lat,
VT,-73.0825,Burlington,5406,Chittenden,44.4421,
MS,-88.6674,Saltillo,38866,Lee,34.3831,
MA,-71.5434,Marlborough,1752,Middlesex,42.3509,
NY,-74.1311,High Falls,12440,Ulster,41.8167,
PA,-75.0727,Philadelphia,19137,Philadelphia,40.0008,
VA,-80.8634,Glen Lyn,24093,Giles,37.3669,
IN,-86.9286,Santa Claus,47579,Spencer,38.1176,
CA,-120.1833,Truckee,96162,Nevada,39.328,
WV,-81.4052,Blount,25025,Kanawha,38.3121,
TX,-95.1134,Houston,77059,Harris,29.5975,
VA,-76.1759,Virginia Beach,23464,Virginia Beach (city),36.7978,
PA,-74.9104,Langhorne,19047,Bucks,40.1813,
GA,-83.602,Alto,30510,Habersham,34.4591,
HI,-157.8615,Honolulu,96817,Honolulu,21.3295,
FL,-82.0868,Sanibel,33957,Lee,26.4514,
VA,-82.6102,Fort Blackmore,24250,Scott,36.7438,
PA,-75.0132,Bushkill,18324,Pike,41.1285,
ND,-101.3156,Minot,58703,Ward,48.3306,
CA,-114.7355,Palo Verde,92266,Imperial,33.3696,
NY,-78.6847,Springville,14141,Erie,42.52,
IL,-87.7955,Metcalf,61940,Edgar,39.8008,
MN,-96.1192,Woodstock,56186,Pipestone,43.9873,
CA,-119.872,Riverdale,93656,Fresno,36.4295,
NY,-76.8786,Hector,14841,Schuyler,42.4966,
RI,-71.3175,Barrington,2806,Bristol,41.7443,
DC,-77.0146,Washington,20241,District of Columbia,38.8933,
ND,-96.8762,Mooreton,58061,Richland,46.2686,
AZ,-109.6193,Elfrida,85610,Cochise,31.7139,
PA,-78.6577,Rockton,15856,Clearfield,41.0806,
NY,-74.1023,Haines Falls,12436,Greene,42.1955,
WV,-81.5536,Charleston,25315,Kanawha,38.2351,
VA,-77.398,Henrico,23288,Henrico,37.4638,
OR,-123.1065,Shedd,97377,Linn,44.453,
CO,-104.8863,Lone Tree,80124,Douglas,39.5517,
CA,-123.3679,Willits,95490,Mendocino,39.4493,
CA,-119.6807,Friant,93626,Fresno,37.0422,
AR,-92.8472,Perryville,72126,Perry,34.9701,
PA,-75.2303,Philadelphia,19139,Philadelphia,39.9612,
AZ,-110.7605,Mount Lemmon,85619,Pima,32.3763,
CA,-121.88,San Jose,95131,Santa Clara,37.3864,
MO,-90.4271,Florissant,63032,St. Louis,38.6383,
IL,-87.6321,Chicago,60602,Cook,41.8829,
MI,-83.1508,Detroit,48244,Wayne,42.2399,
NY,-73.5166,Levittown,11756,Nassau,40.7254,
NE,-98.3715,Spalding,68665,Greeley,41.6874,
CA,-122.4754,San Francisco,94132,City and County of San Francisco,37.7211,
TN,-84.3748,Copperhill,37317,Polk,35.0207,
NJ,-74.3517,Metuchen,8840,Middlesex,40.5449,
VA,-79.2783,Keeling,24566,Pittsylvania,36.7156,
TX,-97.7431,Austin,78768,Travis,30.2672,
IL,-88.4611,Elburn,60119,Kane,41.8824,
GA,-84.5499,Marietta,30006,Cobb,33.9526,
KY,-82.7836,Dema,41859,Knott,37.3976,
PA,-76.8398,Milton,17847,Northumberland,41.0168,
CA,-117.7467,Irvine,92602,Orange,33.7419,
CT,-72.9282,New Haven,6512,New Haven,41.3082,
MN,-93.2401,Minneapolis,55418,Hennepin,45.0192,
IA,-90.9518,North Buena Vista,52066,Clayton,42.6783,
OH,-84.7627,Hooven,45033,Hamilton,39.1773,
AR,-90.3358,Caraway,72419,Craighead,35.759,
MO,-92.0909,Success,65570,Texas,37.4626,
NE,-98.3981,Ewing,68735,Holt,42.1851,
IN,-87.4041,Hillsdale,47854,Vermillion,39.7712,
OH,-80.9701,Newton Falls,44444,Trumbull,41.191,
CO,-105.6879,Crestone,81131,Saguache,37.953,
CA,-119.2594,Yettem,93670,Tulare,36.4718,
ND,-100.1225,Martin,58758,Sheridan,47.7781,
OR,-117.9756,Haines,97833,Baker,44.8776,
FL,-80.3187,Miami,33158,Miami-Dade,25.6364,
MN,-93.0902,Saint Paul,55101,Ramsey,44.9512,
WA,-122.3048,Seattle,98195,King,47.6564,
IA,-91.1989,Monticello,52310,Jones,42.2326,
GA,-83.2878,Valdosta,31698,Lowndes,30.8485,
TX,-96.2735,Ector,75439,Fannin,33.5819,
TX,-96.6411,Garland,75041,Dallas,32.8794,
KS,-97.2611,Clifton,66937,Washington,39.6201,
MI,-85.4685,Scotts,49088,Kalamazoo,42.1819,
WY,-110.54,Diamondville,83116,Lincoln,41.7839,
NC,-76.2318,Fairfield,27826,Hyde,35.5659,
AR,-93.5955,Havana,72842,Yell,35.0832,
IN,-86.7077,La Porte,46350,LaPorte,41.5994,
TN,-84.0454,Duff,37729,Campbell,36.5086,
KY,-87.6439,Poole,42444,Webster,37.641,
NY,-74.0857,Acra,12405,Greene,42.3304,
NY,-73.7182,Floral Park,11005,Queens,40.7571,
SC,-81.6524,Gaffney,29342,Cherokee,34.9963,
OH,-83.9499,Lafayette,45854,Allen,40.7582,
FL,-81.7065,Fort Myers,33913,Lee,26.5228,
GA,-85.1465,Rome,30161,Floyd,34.2507,
NY,-73.9252,Nyack,10960,Rockland,41.0914,
GA,-84.3999,Mauk,31058,Taylor,32.509,
GA,-84.569,Bainbridge,39819,Decatur,30.9039,
WA,-123.9454,Chinook,98614,Pacific,46.2729,
MT,-111.687,Ennis,59729,Madison,45.3545,
GA,-83.4312,Haddock,31033,Jones,33.0519,
WV,-81.7148,Lorado,25630,Logan,37.7957,
KY,-86.7198,Auburn,42206,Logan,36.8818,
WI,-91.4877,Eau Claire,54701,Eau Claire,44.784,
KY,-84.138,East Bernstadt,40729,Laurel,37.2488,
FL,-82.3659,Tampa,33637,Hillsborough,28.0338,
TX,-98.6137,San Antonio,78257,Bexar,29.6495,
WA,-119.0094,Nespelem,99155,Okanogan,48.1434,
FL,-82.5462,Oneco,34264,Manatee,27.4475,
MO,-92.9302,Keytesville,65261,Chariton,39.4794,
MS,-89.0328,Algoma,38820,Pontotoc,34.1715,
PA,-77.37,Mc Elhattan,17748,Clinton,41.1355,
OH,-84.3764,Germantown,45327,Montgomery,39.6244,
IL,-88.2036,Urbana,61801,Champaign,40.1095,
MT,-105.8006,Peerless,59253,Daniels,48.7808,
MT,-112.6906,Glen,59732,Beaverhead,45.4766,
NY,-74.841,Pond Eddy,12770,Sullivan,41.4511,
LA,-90.0751,New Orleans,70166,Orleans,29.9546,
IL,-88.7551,Simpson,62985,Johnson,37.4673,
FL,-81.5864,Jacksonville,32277,Duval,30.3704,
CO,-102.2583,Burlington,80807,Kit Carson,39.3106,
IA,-93.7517,Thompson,50478,Winnebago,43.3875,
OK,-95.9691,Ochelata,74051,Washington,36.5947,
AZ,-111.9261,Tempe,85281,Maricopa,33.4227,
WA,-122.5891,Tacoma,98433,Pierce,47.1125,
LA,-92.8312,Lena,71447,Rapides,31.4207,
WV,-79.9656,Norton,26285,Randolph,38.9318,
OR,-123.0351,Salem,97308,Marion,44.9429,
GA,-84.7106,Smyrna,30081,Cobb,33.8588,
MO,-91.3031,Frankford,63441,Pike,39.4892,
FL,-81.796,Naples,34101,Collier,26.1423,
NJ,-74.712,Trenton,8650,Mercer,40.2805,
MN,-93.6083,Chaska,55318,Carver,44.8061,
GA,-83.2174,Milledgeville,31062,Baldwin,33.0491,
MD,-77.1022,Bethesda,20814,Montgomery,39.0003,
NY,-74.0741,Chateaugay,12920,Franklin,44.9088,
AR,-91.2935,Strawberry,72469,Lawrence,35.9673,
UT,-111.9982,Cache Junction,84304,Cache,41.8169,
TX,-102.3676,Levelland,79336,Hockley,33.5788,
NC,-79.3726,Bear Creek,27207,Chatham,35.6129,
CO,-105.2211,Golden,80402,Jefferson,39.7555,
TX,-102.2762,Brownfield,79316,Terry,33.1698,
MT,-107.4856,Sand Springs,59077,Garfield,47.1008,
MN,-95.8838,Balaton,56115,Lyon,44.2253,
MS,-90.3628,Tinsley,39173,Yazoo,32.7628,
MO,-93.5812,Concordia,64020,Lafayette,38.9776,
NC,-80.6594,Harrisburg,28075,Cabarrus,35.3247,
MO,-90.387,Arnold,63010,Jefferson,38.4305,
MA,-71.0192,East Taunton,2718,Bristol,41.8736,
PA,-76.0345,Reading,19608,Berks,40.3113,
NY,-73.6683,Valatie,12184,Columbia,42.4321,
WV,-81.1623,Newton,25266,Roane,38.606,
MD,-76.6546,Lutherville Timonium,21093,Baltimore,39.4332,
MA,-73.3202,Ashley Falls,1222,Berkshire,42.0596,
DC,-77.0146,Washington,20074,District of Columbia,38.8933,
IN,-87.3778,Somerville,47683,Gibson,38.2764,
OR,-123.0167,Salem,97303,Marion,44.9927,
TX,-96.4804,Snook,77878,Burleson,30.4702,
WV,-81.9123,Ethel,25076,Logan,37.8665,
OH,-84.1622,Dayton,45404,Montgomery,39.7862,
AZ,-112.334,Crown King,86343,Yavapai,34.2241,
NC,-77.3831,Tarawa Terrace,28543,Onslow,34.7354,
CA,-118.4322,Sherman Oaks,91423,Los Angeles,34.1526,
WI,-89.6325,Boulder Junction,54512,Vilas,46.1112,
DC,-77.0203,Washington,20011,District of Columbia,38.9518,
IA,-91.5745,Donnellson,52625,Lee,40.6612,
AL,-86.9292,Birmingham,35285,Jefferson,33.5446,
UT,-112.1364,Hooper,84315,Weber,41.1668,
AL,-87.3935,Lexington,35648,Lauderdale,34.9559,
WV,-80.1725,Barrackville,26559,Marion,39.5052,
IL,-88.1065,Hoffman Estates,60169,Cook,42.0493,
CA,-114.5619,Bard,92222,Imperial,32.7822,
FL,-80.2153,Hollywood,33023,Broward,25.9894,
KY,-85.2656,Smithfield,40068,Henry,38.3933,
MS,-90.132,Pearl,39288,Rankin,32.2746,
ME,-69.0423,Brownville,4414,Piscataquis,45.3412,
IA,-92.865,Ferguson,50078,Marshall,41.9374,
KY,-82.6056,Louisa,41230,Lawrence,38.1043,
PA,-76.0933,Kirkwood,17536,Lancaster,39.8257,
NY,-73.8317,Flushing,11351,Queens,40.7817,
TX,-106.4073,El Paso,79934,El Paso,31.9386,
NY,-73.6818,Queensbury,12804,Warren,43.329,
ND,-97.3176,Mayville,58257,Traill,47.5014,
KY,-83.0414,Closplint,40927,Harlan,36.8713,
SC,-80.0686,Charleston Afb,29404,Charleston,32.8982,
WY,-107.3254,Parkman,82838,Sheridan,44.965,
WA,-123.1198,Sequim,98382,Clallam,48.0881,
PA,-75.3838,Lakewood,18439,Wayne,41.8171,
ID,-116.5683,Medimont,83842,Kootenai,47.4625,
OH,-84.5904,Van Wert,45891,Van Wert,40.8689,
CO,-104.9847,Denver,80248,Denver,39.7392,
NC,-83.7888,Robbinsville,28771,Graham,35.3259,
ME,-69.1139,Rockland,4841,Knox,44.1123,
IA,-94.015,Minburn,50167,Dallas,41.7562,
FL,-80.4085,Miami,33186,Miami-Dade,25.6694,
OH,-84.3983,Middletown,45044,Butler,39.5151,
CA,-118.9052,Bakersfield,93386,Kern,35.2944,
ND,-100.4329,Bottineau,58318,Bottineau,48.8451,
TX,-94.8544,Moscow,75960,Polk,30.9179,
CA,-118.5231,Granada Hills,91394,Los Angeles,34.2647,
NE,-99.5387,Bassett,68714,Rock,42.5763,
FL,-82.4165,Brooksville,34603,Hernando,28.5642,
CT,-71.885,Moosup,6354,Windham,41.721,
FL,-82.4048,La Crosse,32658,Alachua,29.8433,
WV,-81.6996,South Charleston,25303,Kanawha,38.3684,
KY,-83.83,Green Road,40946,Knox,36.8713,
UT,-109.1773,Bonanza,84008,Uintah,40.0211,
MO,-90.3342,Saint Louis,63117,St. Louis,38.6295,
AR,-91.9163,Tucker,72168,Jefferson,34.4414,
MO,-94.5199,Kansas City,64166,Clay,39.3294,
AK,-157.7008,Koyukuk,99754,Yukon-Koyukuk (CA),64.8803,
VT,-72.5046,Adamant,5640,Washington,44.3575,
DC,-77.0146,Washington,20470,District of Columbia,38.8933,
CO,-105.1639,Rockvale,81244,Fremont,38.3697,
VA,-77.6869,Calverton,20138,Fauquier,38.6338,
RI,-71.2731,Middletown,2842,Newport,41.5198,
NC,-80.8991,Barium Springs,28010,Iredell,35.7192,
MN,-92.2415,Aurora,55705,St. Louis,47.4951,
CA,-118.2437,Los Angeles,90030,Los Angeles,34.0522,
NC,-77.1141,Aulander,27805,Bertie,36.1475,
GA,-84.0262,Suwanee,30024,Gwinnett,34.0425,
NE,-97.0806,Swanton,68445,Saline,40.3844,
OK,-99.9006,Sweetwater,73666,Roger Mills,35.4488,
MN,-96.5583,Glyndon,56547,Clay,46.882,
CA,-122.0311,Concord,94522,Contra Costa,37.978,
FL,-80.1937,Miami,33206,Miami-Dade,25.7743,
VA,-78.1989,Winchester,22603,Frederick,39.264,
CA,-118.2201,Compton,90223,Los Angeles,33.8958,
CO,-104.853,Castle Rock,80108,Douglas,39.4455,
MI,-83.7108,Flint,48555,Genesee,43.0113,
MI,-83.1366,Royal Oak,48067,Oakland,42.4906,
TX,-98.905,Comfort,78013,Kendall,29.9677,
CT,-73.1765,Morris,6763,Litchfield,41.6881,
SC,-81.9748,North Augusta,29860,Aiken,33.6028,
IA,-93.5101,Humeston,50123,Wayne,40.8469,
GA,-84.0081,Snellville,30078,Gwinnett,33.8635,
IA,-95.4469,Shelby,51570,Pottawattamie,41.5339,
MO,-92.2105,Waynesville,65583,Pulaski,37.7676,
TX,-95.3675,Houston,77009,Harris,29.7936,
NY,-76.0494,Endicott,13763,Broome,42.0984,
AR,-90.9428,Egypt,72427,Craighead,35.864,
FL,-80.2246,Jensen Beach,34958,Martin,27.2424,
WI,-87.9065,Milwaukee,53274,Milwaukee,43.0389,
PA,-80.2613,Prosperity,15329,Washington,40.0224,
OH,-80.8815,Adena,43901,Jefferson,40.2126,
MA,-73.08,North Adams,1247,Berkshire,42.6955,
NE,-100.7735,Crookston,69212,Cherry,42.9255,
MI,-83.9396,De Tour Village,49725,Chippewa,45.9939,
ME,-69.2225,East Newport,4933,Penobscot,44.8209,
NY,-73.9772,New York,10119,New York,40.7808,
DC,-77.0146,Washington,20425,District of Columbia,38.8933,
TX,-94.5676,Lufkin,75903,Angelina,31.2766,
CA,-117.2405,San Diego,92109,San Diego,32.7969,
VA,-78.1794,Columbia,23038,Goochland,37.7147,
TX,-99.8684,Tye,79563,Taylor,32.4477,
HI,-157.6985,Honolulu,96825,Honolulu,21.2987,
WI,-87.4793,Maplewood,54226,Door,44.7475,
WV,-80.3777,Lost Creek,26385,Harrison,39.1725,
KS,-98.7565,Hoisington,67544,Barton,38.4789,
AZ,-110.6968,Patagonia,85624,Santa Cruz,31.5353,
TX,-97.1583,Gainesville,76240,Cooke,33.6547,
MO,-90.4381,Imperial,63052,Jefferson,38.4069,
WI,-90.4302,Richland Center,53581,Richland,43.3661,
NM,-103.1594,Eunice,88231,Lea,32.4392,
OR,-122.8037,Beaverton,97077,Washington,45.4871,
MD,-76.3564,Bel Air,21014,Harford,39.5394,
WY,-107.9563,Worland,82401,Washakie,44.0138,
WI,-90.8146,Sparta,54656,Monroe,43.954,
KY,-83.0658,Vicco,41773,Perry,37.202,
IL,-87.643,Chicago,60661,Cook,41.8814,
MT,-112.7476,Deer Lodge,59722,Powell,46.3881,
OR,-122.5756,Molalla,97038,Clackamas,45.1223,
NH,-71.2206,North Salem,3073,Rockingham,42.837,
NH,-71.0114,Milton,3851,Strafford,43.4229,
IA,-93.1753,New Providence,50206,Hardin,42.2693,
WA,-122.4443,Tacoma,98481,Pierce,47.2529,
CA,-119.0899,Dunlap,93621,Fresno,36.7446,
AR,-92.6547,Traskwood,72167,Saline,34.4508,
NH,-70.8997,Stratham,3885,Rockingham,43.0194,
NY,-77.6918,Arkport,14807,Steuben,42.4225,
MI,-87.0332,Rumely,49826,Alger,46.3483,
OR,-121.2985,Bend,97702,Deschutes,44.0223,
MN,-92.1066,Duluth,55814,St. Louis,46.7833,
AK,-150.6339,Manley Hot Springs,99756,Yukon-Koyukuk (CA),65.0011,
FL,-81.5882,Jacksonville,32211,Duval,30.348,
VA,-78.2976,Madison,22727,Madison,38.37,
TX,-96.7495,Dallas,75231,Dallas,32.8756,
WI,-90.4733,Tomah,54660,Monroe,43.9838,
CA,-120.1783,Vinton,96135,Plumas,39.8043,
CA,-117.8843,Covina,91723,Los Angeles,34.086,
MD,-76.4533,Essex,21221,Baltimore,39.3086,
ME,-69.9952,Bailey Island,4003,Cumberland,43.7341,
AR,-90.9413,Marvell,72366,Phillips,34.5485,
NC,-81.1297,Claremont,28610,Catawba,35.7211,
MN,-93.4668,Dayton,55327,Hennepin,45.1982,
MN,-95.7955,Hoffman,56339,Grant,45.8233,
LA,-91.8751,Enterprise,71425,Catahoula,31.9064,
NY,-73.1607,Great River,11739,Suffolk,40.7297,
CA,-117.1573,San Diego,92165,San Diego,32.7153,
TX,-97.9622,Edcouch,78538,Hidalgo,26.3328,
FL,-80.3997,Homestead,33039,Miami-Dade,25.5021,
VA,-81.7956,Jewell Ridge,24622,Tazewell,37.2094,
TX,-97.8802,Tolar,76476,Hood,32.3772,
ME,-70.2492,Jackman,4945,Somerset,45.6351,
TX,-100.7674,Lelia Lake,79240,Donley,34.8843,
KY,-87.5991,Henderson,42419,Henderson,37.8072,
ID,-116.9732,Viola,83872,Latah,46.8583,
MN,-93.2168,Nashwauk,55769,Itasca,47.42,
CA,-116.2676,Indio,92203,Riverside,33.7532,
VA,-75.6041,Hallwood,23359,Accomack,37.8837,
NV,-119.3605,Nixon,89424,Washoe,39.8272,
MI,-83.2113,Birmingham,48012,Oakland,42.5467,
CA,-121.4944,Sacramento,94293,Sacramento,38.5816,
PA,-79.5824,Hunker,15639,Westmoreland,40.2149,
SD,-99.9766,Gettysburg,57442,Potter,45.0259,
VA,-77.1872,Springfield,22161,Fairfax,38.7893,
LA,-90.163,Metairie,70002,Jefferson Parish,30.0098,
NE,-100.2908,Bartley,69020,Red Willow,40.2581,
VA,-77.398,Henrico,23242,Henrico,37.4638,
VT,-72.4224,Plainfield,5667,Washington,44.2622,
HI,-157.8439,Honolulu,96814,Honolulu,21.2998,
GA,-84.6859,Powder Springs,30127,Cobb,33.9135,
KY,-85.6985,Knob Lick,42154,Metcalfe,37.0556,
CA,-122.3693,San Francisco,94130,City and County of San Francisco,37.8231,
VT,-73.079,Florence,5744,Rutland,43.7093,
UT,-111.9438,Levan,84639,Juab,39.5215,
TX,-97.0112,Grand Prairie,75050,Dallas,32.7649,
ND,-97.9573,Dahlen,58224,Nelson,48.1599,
WI,-89.3384,Madison,53784,Dane,43.0489,
MN,-95.6283,Naytahwaush,56566,Mahnomen,47.2601,
AR,-92.3529,Little Rock,72209,Pulaski,34.6725,
NJ,-74.2656,Maplewood,7040,Essex,40.7279,
TX,-97.668,Round Rock,78664,Williamson,30.5145,
PA,-80.3178,Harmonsburg,16422,Crawford,41.6609,
MN,-93.0875,Saint Paul,55127,Ramsey,45.0803,
WI,-87.599,Manitowoc,54221,Manitowoc,44.1323,
TX,-96.7921,Dallas,75252,Dallas,32.9968,
TX,-94.1355,Waskom,75692,Harrison,32.5184,
OH,-84.4355,Alvordton,43501,Williams,41.6625,
NJ,-74.1711,Clifton,7013,Passaic,40.8693,
TX,-95.4342,Houston,77234,Harris,29.834,
VA,-77.4494,Manassas,20113,Manassas Park (city),38.7709,
CT,-72.1425,North Franklin,6254,New London,41.6161,
IL,-87.6365,Georgetown,61846,Vermilion,39.9792,
NJ,-75.1681,Richwood,8074,Gloucester,39.7206,
IN,-87.4648,Perrysville,47974,Vermillion,40.0737,
IN,-85.6094,Vernon,47282,Jennings,38.9848,
TX,-98.3938,Wichita Falls,76305,Wichita,33.9995,
WI,-88.6625,Wabeno,54566,Forest,45.4332,
ID,-115.6417,Cascade,83611,Valley,44.6927,
SD,-96.5416,Astoria,57213,Deuel,44.5735,
MN,-96.255,Newfolden,56738,Marshall,48.2895,
LA,-90.9705,Greenwell Springs,70739,East Baton Rouge Parish,30.5984,
WA,-117.4317,Spokane,99256,Spokane,47.6536,
CA,-122.4194,San Francisco,94172,City and County of San Francisco,37.7749,
MD,-76.8777,Southern Md Facility,20697,Prince George's,38.8336,
CA,-118.2161,Huntington Park,90255,Los Angeles,33.9769,
WV,-82.108,Lenore,25676,Mingo,37.7431,
MI,-83.7294,Fenton,48430,Genesee,42.7851,
NC,-79.792,Greensboro,27413,Guilford,36.0726,
MS,-89.9915,Coila,38923,Carroll,33.3731,
IA,-94.4415,Bagley,50026,Guthrie,41.8341,
KY,-82.5971,Tomahawk,41262,Martin,37.8687,
CA,-116.9362,Forest Falls,92339,San Bernardino,34.0937,
IL,-90.3338,Jerseyville,62052,Jersey,39.1213,
PA,-80.0248,Pittsburgh,15242,Allegheny,40.4344,
GA,-84.9297,Villa Rica,30180,Carroll,33.7173,
OH,-80.7361,Martins Ferry,43935,Belmont,40.1036,
MD,-77.2468,Libertytown,21762,Frederick,39.4822,
WI,-91.6998,Sand Creek,54765,Dunn,45.1429,
LA,-91.1868,Baton Rouge,70803,East Baton Rouge Parish,30.405,
CA,-118.2437,Los Angeles,90087,Los Angeles,34.0522,
GA,-84.835,Grantville,30220,Coweta,33.2473,
MD,-76.6681,Linthicum Heights,21090,Anne Arundel,39.2092,
AR,-94.3983,Hackett,72937,Sebastian,35.1945,
NJ,-75.3506,Alloway,8001,Salem,39.5591,
ID,-114.4609,Twin Falls,83303,Twin Falls,42.563,
NC,-79.3297,Saxapahaw,27340,Alamance,35.9488,
PA,-75.8821,Montrose,18801,Susquehanna,41.8396,
